name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pseudomonas	286	G	105456	1021	106477	0.36674
Azotobacter	352	G	14	0	14	0.00005
Oblitimonas	1849530	G	2	0	2	0.00001
Moraxella	475	G	1	0	1	0.00000
Escherichia	561	G	6215	15961	22176	0.07638
Citrobacter	544	G	32	2	34	0.00012
Enterobacter	547	G	25	2	27	0.00009
Klebsiella	570	G	23	14	37	0.00013
Salmonella	590	G	20	80	100	0.00035
Shigella	620	G	20	213	233	0.00080
Kosakonia	1330547	G	10	0	10	0.00004
Leclercia	83654	G	10	0	10	0.00004
Cedecea	158483	G	9	9	18	0.00006
Lelliottia	1330545	G	8	0	8	0.00003
Cronobacter	413496	G	7	0	7	0.00002
Pluralibacter	1330546	G	4	0	4	0.00001
Shimwellia	1335483	G	2	0	2	0.00001
Atlantibacter	1903434	G	2	0	2	0.00001
Raoultella	160674	G	2	0	2	0.00001
Buttiauxella	82976	G	2	0	2	0.00001
Izhakiella	1780190	G	1	0	1	0.00000
Kluyvera	579	G	1	0	1	0.00000
Serratia	613	G	32	0	32	0.00011
Yersinia	629	G	2	0	2	0.00001
Rahnella	34037	G	2	0	2	0.00001
Pantoea	53335	G	6	0	6	0.00002
Erwinia	551	G	5	0	5	0.00002
Mixta	2100764	G	1	1	2	0.00001
Dickeya	204037	G	8	0	8	0.00003
Sodalis	84565	G	3	0	3	0.00001
Pectobacterium	122277	G	2	0	2	0.00001
Brenneria	71655	G	1	0	1	0.00000
Edwardsiella	635	G	3	0	3	0.00001
Morganella	581	G	2	0	2	0.00001
Arsenophonus	637	G	1	0	1	0.00000
Phytobacter	447792	G	1	0	1	0.00000
Dyella	231454	G	6002	418	6420	0.02211
Rhodanobacter	75309	G	1457	126	1583	0.00545
Luteibacter	242605	G	588	331	919	0.00317
Frateuria	70411	G	125	8	133	0.00046
Dokdonella	323413	G	68	2	70	0.00024
Ahniella	2233801	G	5	0	5	0.00002
Stenotrophomonas	40323	G	491	62	553	0.00191
Xanthomonas	338	G	479	56	535	0.00185
Lysobacter	68	G	291	17	308	0.00106
Luteimonas	83614	G	117	9	126	0.00043
Pseudoxanthomonas	83618	G	45	49	94	0.00032
Arenimonas	490567	G	37	2	39	0.00014
Thermomonas	141948	G	29	6	35	0.00012
Xylella	2370	G	12	0	12	0.00004
Halomonas	2745	G	28	0	28	0.00010
Cobetia	204286	G	3	0	3	0.00001
Halotalea	376488	G	3	0	3	0.00001
Salinicola	404432	G	3	0	3	0.00001
Alcanivorax	59753	G	13	0	13	0.00005
Hahella	158481	G	3	0	3	0.00001
Marinobacterium	48075	G	1	0	1	0.00000
Bacterioplanes	1537406	G	1	0	1	0.00000
Saccharospirillum	231683	G	2	0	2	0.00001
Thioalkalivibrio	106633	G	8	0	8	0.00003
Acidihalobacter	1765964	G	8	0	8	0.00003
Spiribacter	1335745	G	3	0	3	0.00001
Ectothiorhodospira	1051	G	2	0	2	0.00001
Halorhodospira	85108	G	1	0	1	0.00000
Thiodictyon	53392	G	4	2	6	0.00002
Thiocystis	13724	G	1	0	1	0.00000
Marichromatium	85076	G	1	0	1	0.00000
Sulfurivermis	2034504	G	4	0	4	0.00001
Wenzhouxiangella	1676142	G	4	0	4	0.00001
Halothiobacillus	109262	G	3	0	3	0.00001
Granulosicoccus	437504	G	1	0	1	0.00000
Thiohalobacter	1273155	G	1	0	1	0.00000
Marinobacter	2742	G	15	0	15	0.00005
Alteromonas	226	G	3	0	3	0.00001
Lacimicrobium	1751872	G	2	0	2	0.00001
Salinimonas	288793	G	1	0	1	0.00000
Shewanella	22	G	7	2	9	0.00003
Pseudoalteromonas	53246	G	1	0	1	0.00000
Ferrimonas	44011	G	1	0	1	0.00000
Aeromonas	642	G	21	0	21	0.00007
Oceanimonas	129577	G	5	0	5	0.00002
Zobellella	347533	G	1	0	1	0.00000
Steroidobacter	469322	G	10	0	10	0.00003
Solimonas	413435	G	9	0	9	0.00003
Sulfurifustis	1692042	G	9	0	9	0.00003
Sulfuricaulis	1744881	G	3	0	3	0.00001
Methylomonas	416	G	11	0	11	0.00004
Vibrio	662	G	6	0	6	0.00002
Photobacterium	657	G	1	0	1	0.00000
Aliivibrio	511678	G	1	0	1	0.00000
Salinisphaera	180541	G	6	0	6	0.00002
Microbulbifer	48073	G	4	0	4	0.00001
Cellvibrio	10	G	1	0	1	0.00000
Sedimenticola	349742	G	2	0	2	0.00001
Gallaecimonas	745410	G	1	0	1	0.00000
Legionella	445	G	1	0	1	0.00000
Aquicella	254245	G	1	0	1	0.00000
Thiomicrospira	933	G	1	0	1	0.00000
Haemophilus	724	G	1	0	1	0.00000
Burkholderia	32008	G	21050	500	21550	0.07422
Paraburkholderia	1822464	G	3383	24	3407	0.01174
Cupriavidus	106589	G	114	1	115	0.00040
Ralstonia	48736	G	54	0	54	0.00019
Pandoraea	93217	G	40	0	40	0.00014
Mycetohabitans	2571159	G	1	0	1	0.00000
Bordetella	517	G	73	5	78	0.00027
Achromobacter	222	G	67	2	69	0.00024
Alcaligenes	507	G	8	0	8	0.00003
Orrella	1921582	G	6	3	9	0.00003
Pigmentiphaga	152267	G	2	0	2	0.00001
Castellaniella	359336	G	1	0	1	0.00000
Paenalcaligenes	1100891	G	1	0	1	0.00000
Massilia	149698	G	46	1	47	0.00016
Herbaspirillum	963	G	31	1	32	0.00011
Collimonas	202907	G	30	1	31	0.00011
Janthinobacterium	29580	G	29	3	32	0.00011
Noviherbaspirillum	1344552	G	3	0	3	0.00001
Oxalobacter	846	G	1	0	1	0.00000
Acidovorax	12916	G	21	1	22	0.00008
Variovorax	34072	G	21	0	21	0.00007
Delftia	80865	G	13	0	13	0.00005
Comamonas	283	G	12	0	12	0.00004
Rhodoferax	28065	G	10	0	10	0.00004
Hydrogenophaga	47420	G	10	0	10	0.00004
Melaminivora	1649468	G	10	0	10	0.00004
Polaromonas	52972	G	9	0	9	0.00003
Ramlibacter	174951	G	9	0	9	0.00003
Alicycliphilus	201096	G	3	0	3	0.00001
Limnohabitans	665874	G	2	0	2	0.00001
Ottowia	219181	G	1	0	1	0.00000
Simplicispira	352450	G	1	0	1	0.00000
Hylemonella	232523	G	1	0	1	0.00000
Mitsuaria	65047	G	9	0	9	0.00003
Thiomonas	32012	G	8	0	8	0.00003
Rhizobacter	212743	G	7	0	7	0.00002
Roseateles	93681	G	5	0	5	0.00002
Methylibium	316612	G	5	0	5	0.00002
Leptothrix	88	G	4	0	4	0.00001
Paucibacter	318147	G	4	0	4	0.00001
Aquabacterium	92793	G	3	0	3	0.00001
Sphaerotilus	34102	G	2	0	2	0.00001
Rubrivivax	28067	G	1	12	13	0.00004
Sutterella	40544	G	2	0	2	0.00001
Chromobacterium	535	G	7	0	7	0.00003
Iodobacter	32014	G	2	0	2	0.00001
Pseudogulbenkiania	568394	G	6	1	7	0.00002
Jeongeupia	885864	G	4	0	4	0.00001
Vogesella	57739	G	3	0	3	0.00001
Aquitalea	407217	G	3	0	3	0.00001
Aquaspirillum	187	G	2	0	2	0.00001
Eikenella	538	G	5	0	5	0.00002
Crenobacter	1654931	G	4	0	4	0.00001
Chitinolyticbacter	1055692	G	2	0	2	0.00001
Simonsiella	71	G	1	0	1	0.00000
Neisseria	482	G	1	0	1	0.00000
Kingella	32257	G	1	0	1	0.00000
Azoarcus	12960	G	14	0	14	0.00005
Thauera	33057	G	11	1	12	0.00004
Dechloromonas	73029	G	4	0	4	0.00001
Azospira	146937	G	1	0	1	0.00000
Aromatoleum	551759	G	1	7	8	0.00003
Methyloversatilis	378210	G	3	0	3	0.00001
Denitratisoma	311181	G	2	0	2	0.00001
Sulfuritalea	1054211	G	1	0	1	0.00000
Nitrosospira	35798	G	6	0	6	0.00002
Nitrosomonas	914	G	2	0	2	0.00001
Methylophilus	16	G	4	0	4	0.00001
Methylobacillus	404	G	1	0	1	0.00000
Sulfuricella	935200	G	3	0	3	0.00001
Ferriphaselus	1443590	G	1	0	1	0.00000
Thiobacillus	919	G	1	0	1	0.00000
Sulfuritortus	1938335	G	1	0	1	0.00000
Candidatus Accumulibacter	327159	G	3	1	4	0.00001
Rhodobacter	1060	G	20695	161	20856	0.07184
Rhodovulum	34008	G	7	0	7	0.00002
Pannonibacter	227873	G	7	0	7	0.00003
Paracoccus	265	G	6	0	6	0.00002
Sulfitobacter	60136	G	6	5	11	0.00004
Celeribacter	875170	G	3	0	3	0.00001
Oceanicola	252301	G	3	0	3	0.00001
Stappia	152161	G	3	0	3	0.00001
Boseongicola	1648497	G	3	0	3	0.00001
Defluviimonas	1097466	G	2	0	2	0.00001
Ketogulonicigenium	92944	G	2	0	2	0.00001
Labrenzia	478070	G	2	0	2	0.00001
Tabrizicola	1443919	G	2	0	2	0.00001
Marinovum	367771	G	2	0	2	0.00001
Yangia	354203	G	2	0	2	0.00001
Gemmobacter	204456	G	2	0	2	0.00001
Pseudorhodobacter	238783	G	2	0	2	0.00001
Silicimonas	1955420	G	2	0	2	0.00001
Salipiger	263377	G	2	0	2	0.00001
Yoonia	2211641	G	1	0	1	0.00000
Phaeobacter	302485	G	1	0	1	0.00000
Roseobacter	2433	G	1	0	1	0.00000
Leisingera	191028	G	1	0	1	0.00000
Ruegeria	97050	G	1	0	1	0.00000
Pseudovibrio	258255	G	1	0	1	0.00000
Roseovarius	74030	G	1	0	1	0.00000
Hyphomonas	85	G	4	0	4	0.00001
Maricaulis	74317	G	3	0	3	0.00001
Glycocaulis	1433402	G	1	0	1	0.00000
Bradyrhizobium	374	G	75	5	80	0.00028
Rhodopseudomonas	1073	G	11	2	13	0.00005
Bosea	85413	G	7	0	7	0.00003
Nitrobacter	911	G	3	0	3	0.00001
Tardiphaga	1395974	G	3	0	3	0.00001
Afipia	1033	G	2	3	5	0.00002
Rhizobium	379	G	32	3	35	0.00012
Agrobacterium	357	G	11	4	15	0.00005
Neorhizobium	1525371	G	2	0	2	0.00001
Sinorhizobium	28105	G	14	2	16	0.00006
Ensifer	106591	G	2	0	2	0.00001
